null_links,ext_css,domain_reg,traffic,page_rank
Low,Very Few,Short,Very Low,Popular
Low,Very Few,Short,Very Low,Moderately Known
Low,Very Few,Short,Very Low,Not Very Known
Low,Very Few,Short,Low,Popular
Low,Very Few,Short,Low,Moderately Known
Low,Very Few,Short,Low,Not Very Known
Low,Very Few,Short,Moderate,Popular
Low,Very Few,Short,Moderate,Moderately Known
Low,Very Few,Short,Moderate,Not Very Known
Low,Very Few,Short,High,Popular
Low,Very Few,Short,High,Moderately Known
Low,Very Few,Short,High,Not Very Known
Low,Very Few,Medium,Very Low,Popular
Low,Very Few,Medium,Very Low,Moderately Known
Low,Very Few,Medium,Very Low,Not Very Known
Low,Very Few,Medium,Low,Popular
Low,Very Few,Medium,Low,Moderately Known
Low,Very Few,Medium,Low,Not Very Known
Low,Very Few,Medium,Moderate,Popular
Low,Very Few,Medium,Moderate,Moderately Known
Low,Very Few,Medium,Moderate,Not Very Known
Low,Very Few,Medium,High,Popular
Low,Very Few,Medium,High,Moderately Known
Low,Very Few,Medium,High,Not Very Known
Low,Very Few,Long,Very Low,Popular
Low,Very Few,Long,Very Low,Moderately Known
Low,Very Few,Long,Very Low,Not Very Known
Low,Very Few,Long,Low,Popular
Low,Very Few,Long,Low,Moderately Known
Low,Very Few,Long,Low,Not Very Known
Low,Very Few,Long,Moderate,Popular
Low,Very Few,Long,Moderate,Moderately Known
Low,Very Few,Long,Moderate,Not Very Known
Low,Very Few,Long,High,Popular
Low,Very Few,Long,High,Moderately Known
Low,Very Few,Long,High,Not Very Known
Low,Few,Short,Very Low,Popular
Low,Few,Short,Very Low,Moderately Known
Low,Few,Short,Very Low,Not Very Known
Low,Few,Short,Low,Popular
Low,Few,Short,Low,Moderately Known
Low,Few,Short,Low,Not Very Known
Low,Few,Short,Moderate,Popular
Low,Few,Short,Moderate,Moderately Known
Low,Few,Short,Moderate,Not Very Known
Low,Few,Short,High,Popular
Low,Few,Short,High,Moderately Known
Low,Few,Short,High,Not Very Known
Low,Few,Medium,Very Low,Popular
Low,Few,Medium,Very Low,Moderately Known
Low,Few,Medium,Very Low,Not Very Known
Low,Few,Medium,Low,Popular
